Nom du jeu;Plateforme;Studio de développement;Date de sortie
Windswept;Playstation5;WeatherFell;2025-12-31
Formation Z;Playstation5;City Connection;2025-12-31
Taxi Chaos 2;Playstation5;Team6 Game Studios;2025-12-31
This is Fine: Maximum Cope;Playstation5;Numskull Games;2025-12-31
Detective Collection Vol. 2;Playstation5;Various;2025-12-31
Hood Story: Kaito Yamazaki;Playstation5;Zerouno Games;2025-12-31
Frank and Drake;Playstation5;Appnormals Team;2025-12-31
Gobliiins Collection;Playstation5;Pierre Gilhodes / Red Art Studios;2025-12-31
Dungeon Drafters;Playstation5;Manalith Studios;2025-12-31
City Hunter;Playstation5;Red Art Studios;2025-12-31
Astral Ascent: Stellar Edition;Playstation5;Hibernian Workshop;2025-12-31
Monster Crown: Sin Eater;Playstation5;Studio Aurum;2025-12-31
Metal Suits: Counter-Attack;Playstation5;Eggtart;2025-12-31
16-Bit Collection: Data East Vol. 1;Super Nintendo;;2017-09-30
2020 Super Baseball;Super Nintendo;SNK;1993-03-12
3 Ninjas Kick Back;Super Nintendo;;1994-06-01
3rd Super Robot Wars;Super Nintendo;Banpresto;1993-07-23
3×3 Eyes: Jūma Hōkan;Super Nintendo;;1995-12-22
3×3 Eyes: Seima Kōrinden;Super Nintendo;Yutaka;1992-07-28
4th Super Robot Wars;Super Nintendo;Banpresto;1995-03-17
90 Minutes European Prime Goal;Super Nintendo;;1995-01-01
A-Train III - Super Version;Super Nintendo;;1995-09-29
A.S.P. Air Strike Patrol;Super Nintendo;;1994-02-18
Aaahh!!! Real Monsters;Super Nintendo;Realtime Associates;1995-08-15
ABC Monday Night Football;Super Nintendo;Kuusoukagaku;1989-01-01
Accele Brid;Super Nintendo;Genki;1993-11-26
Ace o Nerae!;Super Nintendo;Telenet Japan;1993-01-01
Acme Animation Factory;Super Nintendo;Acclaim Studios London;1994-01-01
Acrobat Mission;Super Nintendo;UPL;1991-01-01
Action Pachio;Super Nintendo;;1993-04-09
ActRaiser;Super Nintendo;;1990-12-16
ActRaiser 2;Super Nintendo;;1993-10-29
Addams Family Values;Super Nintendo;Ocean Software;1995-01-01
Advanced V.G.;Super Nintendo;Giga;1993-01-01
Adventures of Rocky & Bullwinkle and Friends;Super Nintendo;;1992-01-01
Adventures of Yogi Bear;Super Nintendo;;1994-10-01
Aero Fighters;Super Nintendo;Video System;1993-06-30
Aero the Acro-Bat;Super Nintendo;Acclaim Studios Austin;1993-08-01
Aero the Acro-Bat 2;Super Nintendo;Acclaim Studios Austin;1994-01-01
Aerobiz;Super Nintendo;Koei;1992-02-01
Aerobiz Supersonic;Super Nintendo;Koei;1993-04-02
Aguri Suzuki F-1 Super Driving;Super Nintendo;Genki;1992-07-14
Aim for the Ace!;Super Nintendo;Telenet Japan;1993-12-22
Air Cavalry;Super Nintendo;Synergistic Software;1995-01-01
Akira;Super Nintendo;Black Pearl Software;
Al Unser Jr.'s Road to the Top;Super Nintendo;Radical Entertainment;1994-11-01
Albert Odyssey;Super Nintendo;Sun Corporation;1993-03-05
Albert Odyssey 2: Jashin no Taidou;Super Nintendo;Sun Corporation;
Albert Odyssey II: Jashin no Taidou;Super Nintendo;;1996-01-01
Alcahest;Super Nintendo;HAL Laboratory;1993-12-17
Alfred Chicken;Super Nintendo;Twilight;1993-01-01
Alice no Paint Adventure;Super Nintendo;;1995-09-15
Alien 3;Super Nintendo;Acclaim Studios London / Bits Studios;1992-01-01
Alien vs. Predator;Super Nintendo;;1993-01-01
America Ōdan Ultra Quiz;Super Nintendo;;1992-11-20
American Battle Dome;Super Nintendo;;1995-12-08
American Gladiators;Super Nintendo;Incredible Technologies;1991-01-01
An American Tail: Fievel Goes West;Super Nintendo;Hudson Soft;1994-01-01
Ancient Magic: Bazoe! Mahou Sekai;Super Nintendo;;1993-01-01
Andre Agassi Tennis;Super Nintendo;;1994-03-31
Angelique;Super Nintendo;Koei Tecmo Holdings;1994-09-23
Animaniacs;Super Nintendo;Konami;1994-11-01
Another World;Super Nintendo;Delphine Software International / Éric Chahi;1991-01-01
Aoki Densetsu Shoot!;Super Nintendo;Affect;1994-12-16
Appleseed;Super Nintendo;;1994-08-26
Arabian Nights: Sabaku no Seirei-ō;Super Nintendo;;1996-06-14
Arcade's Greatest Hits: The Atari Collection 1;Super Nintendo;;1996-12-31
Arcana;Super Nintendo;HAL Laboratory;1992-03-27
Arcus Odyssey;Super Nintendo;Namco Tales Studio;1993-10-22
Ardy Lightfoot;Super Nintendo;ASCII Corporation;1993-11-26
Aretha II: Ariel no Fushigi na Tabi;Super Nintendo;Game Arts / Japan Art Media;1990-01-01
Arkanoid;Super Nintendo;Taito;1986-01-01
Arkanoid: Doh It Again;Super Nintendo;Taito;1997-01-15
Armored Police Metal Jack;Super Nintendo;;1992-07-31
Art of Fighting 2;Super Nintendo;SNK;1994-01-01
Asameshimae Nyanko;Super Nintendo;;1994-03-18
Ashita no Joe;Super Nintendo;;1992-11-27
Assault Suits Valken 2;Super Nintendo;Nippon Computer Systems;1992-12-18
Asterix;Super Nintendo;Bit Managers;1993-01-01
Astral Bout;Super Nintendo;;1992-06-26
Axelay;Super Nintendo;Konami;1992-09-01
B.O.B.;Super Nintendo;;1993-06-01
Bahamut Lagoon;Super Nintendo;Square;1996-02-09
Bakushou!! Kinsey Gekijou;Super Nintendo;Taito;1989-03-17
Ball Bullet Gun: Survival Game Simulation;Super Nintendo;;1995-12-01
Ballz;Super Nintendo;PF Magic;1994-01-01
Banshee's Last Cry;Super Nintendo;Chunsoft;1994-11-25
Barbarossa;Super Nintendo;SystemSoft Alpha;1992-11-27
Barbie: Super Model;Super Nintendo;;1993-01-01
Barbie: Vacation Adventure;Super Nintendo;Software Creations;1994-01-01
Barcode Battler Senki: Super Senshi Shutsugeki Seyo!;Super Nintendo;;1993-01-01
Barkley Shut Up and Jam!;Super Nintendo;Accolade;1993-01-01
Bass Fishing;Super Nintendo;;1993-01-01
Bass Masters Classic;Super Nintendo;;1994-01-01
Bass Masters Classic: Pro Edition;Super Nintendo;Black Pearl Software;1996-01-01
Bassin's Black Bass with Hank Parker;Super Nintendo;;1994-09-23
Bastard‼;Super Nintendo;;1994-01-28
Batman Forever;Super Nintendo;Acclaim Studios London;1995-01-01
Batman Returns;Super Nintendo;;1993-02-26
Batman: The Animated Series;Super Nintendo;Konami;1993-11-01
Battle Blaze;Super Nintendo;Aicom;1992-05-01
Battle Cars;Super Nintendo;;1993-10-01
Battle Clash;Super Nintendo;Nintendo Research & Development 1;1992-10-01
Battle Commander: Hachibushu, Shura no Heihou;Super Nintendo;;
Battle Cross;Super Nintendo;;1994-12-09
Battle Dodge Ball: Toukyuu Daigekitotsu!;Super Nintendo;;1991-07-20
Battle Dodgeball II;Super Nintendo;;1993-01-01
Battle Grand Prix;Super Nintendo;;1992-03-27
Battle Jockey;Super Nintendo;;1994-12-22
Battle Master: Kyuukyoku no Senshitachi;Super Nintendo;;1993-01-01
Battle Pinball;Super Nintendo;;1995-02-24
Battle Racers;Super Nintendo;;1995-03-17
Battle Robot Retsuden;Super Nintendo;Winkysoft;1995-09-01
Battle Soccer 2;Super Nintendo;;1994-11-25
Battle Soccer: Field no Hasha;Super Nintendo;;1992-12-11
Battle Submarine;Super Nintendo;Office Koukan;1995-12-22
Battle Zeque Den;Super Nintendo;Arsys Software;1994-07-15
Battletoads & Double Dragon;Super Nintendo;Rare Ltd.;1993-01-01
Battletoads in Battlemaniacs;Super Nintendo;Rare Ltd.;1993-06-01
Bazooka Blitzkrieg;Super Nintendo;Tose Co.;1992-11-01
Beavis and Butt-head;Super Nintendo;Radical Entertainment;1994-01-01
Bebe's Kids;Super Nintendo;Radical Entertainment;1994-01-01
Beethoven's 2nd;Super Nintendo;;1993-12-01
Beethoven: The Ultimate Canine Caper;Super Nintendo;;1993-01-01
Best of the Best: Championship Karate;Super Nintendo;Loriciels;1992-01-01
Best Shot Pro Golf;Super Nintendo;;1996-06-14
Big Run;Super Nintendo;Jaleco;1989-01-01
Big Sky Trooper;Super Nintendo;Lucasfilm Games;1995-09-01
Bike Daisuki! Hashiriya Kon – Rider's Spirits;Super Nintendo;Genki;1994-09-30
Biker Mice from Mars;Super Nintendo;Konami;1994-03-04
Bill Walsh College Football;Super Nintendo;Electronic Arts;1993-01-01
Bing Bing! Bingo;Super Nintendo;;1993-12-22
BioMetal;Super Nintendo;Athena;1993-01-01
Bishoujo Senshi Sailor Moon R;Super Nintendo;;1993-12-29
Bishoujo Wrestler Retsuden: Blizzard Yuki Rannyuu!!;Super Nintendo;;
Bishōjo Senshi Sailor Moon: Another Story;Super Nintendo;;1995-01-01
Blackthorne;Super Nintendo;Blizzard Entertainment;1994-01-01
BlaZeon;Super Nintendo;;1992-01-01
Bobby's World;Super Nintendo;RSP, Inc.;1994-01-01
Bomberman B-Daman;Super Nintendo;;1996-01-01
Bomberman: Panic Bomber;Super Nintendo;Eighting / Hudson Soft;1994-12-22
Bombuzal;Super Nintendo;Image Works;1988-01-01
Bonkers;Super Nintendo;Capcom;1994-01-01
Boogerman: A Pick and Flick Adventure;Super Nintendo;Interplay Entertainment;1994-11-14
Boxing Legends of the Ring;Super Nintendo;Sculptured Software;1993-09-01
Brain Lord;Super Nintendo;Produce!;1994-01-28
Bram Stoker's Dracula;Super Nintendo;Traveller's Tales;1993-01-01
Brandish;Super Nintendo;;1991-01-01
Brawl Brothers;Super Nintendo;Jaleco;1992-12-22
BreakThru!;Super Nintendo;Zoo Corporation;1994-06-01
Breath of Fire;Super Nintendo;Capcom;1993-04-03
Breath of Fire II;Super Nintendo;Capcom;1994-12-02
Brett Hull Hockey;Super Nintendo;Radical Entertainment;1994-01-01
Brett Hull Hockey '95;Super Nintendo;Radical Entertainment;1995-01-01
Bronkie the Bronchiasaurus;Super Nintendo;;1995-09-01
Brunswick World: Tournament of Champions;Super Nintendo;Tiertex Design Studios;1997-08-01
Brutal: Paws of Fury;Super Nintendo;GameTek;1994-01-01
BS F-Zero 2 Grand Prix;Super Nintendo;Nintendo;1996-01-01
BS F-Zero Grand Prix;Super Nintendo;;1996-01-01
BS Fire Emblem: Archanea Senki-hen;Super Nintendo;Intelligent Systems;1997-01-01
BS Tantei Club: Yuki ni Kieta Kako;Super Nintendo;Nintendo Research & Development 1;1997-02-09
BS The Legend of Zelda;Super Nintendo;Nintendo Research & Development 2;1995-08-06
BS The Legend of Zelda: Ancient Stone Tablets;Super Nintendo;Nintendo Research & Development 2;1997-01-01
Bubsy 2;Super Nintendo;Accolade;1994-10-28
Bubsy in: Claws Encounters of the Furred Kind;Super Nintendo;Accolade;1993-01-01
Bugs Bunny Rabbit Rampage;Super Nintendo;Viacom;1994-02-01
Bulls vs. Blazers and the NBA Playoffs;Super Nintendo;Electronic Arts;1992-01-01
Bushi Seiryūden: Futari no Yūsha;Super Nintendo;Game Freak;1997-01-17
Cacoma Knight in Bizyland;Super Nintendo;;1992-11-21
Caesars Palace;Super Nintendo;Realtime Associates;1992-12-01
Cal Ripken Jr. Baseball;Super Nintendo;Krome Studios Melbourne;1992-12-01
California Games II;Super Nintendo;Epyx;1990-01-01
Cameltry;Super Nintendo;Taito;1989-01-01
Cannon Fodder;Super Nintendo;Sensible Software;1993-01-01
Capcom's MVP Football;Super Nintendo;;1993-01-01
Captain America and The Avengers;Super Nintendo;Data East / Realtime Associates;1991-01-01
Captain Commando;Super Nintendo;Capcom;1991-09-01
Captain Novolin;Super Nintendo;Sculptured Software;1992-01-01
Captain Tsubasa 3: Koutei no Chousen;Super Nintendo;Tecmo;1992-07-17
Captain Tsubasa 4: Pro no Rival Tachi;Super Nintendo;Tecmo;1993-04-03
Captain Tsubasa 5: Hasha no Shōgō Campione;Super Nintendo;Tecmo;1994-12-09
Captain Tsubasa J: The Way to World Youth;Super Nintendo;;1995-11-17
Caravan Shooting Collection;Super Nintendo;Hudson Soft;1995-07-07
Carrier Aces;Super Nintendo;Synergistic Software;1995-01-01
Carrier Aces Model SNSP-ACAP-EUR;Super Nintendo;;1995-01-01
Casper;Super Nintendo;Imagineering;1996-12-01
Castlevania: Dracula X;Super Nintendo;Konami;1995-07-21
Castlevania: Rondo of Blood;Super Nintendo;Konami;1993-10-29
CB Chara Wars: Ushinawareta Gag;Super Nintendo;;1992-01-01
Champions World Class Soccer;Super Nintendo;Park Place Productions;1993-12-10
Championship Pool;Super Nintendo;Bitmasters;1993-10-01
Chaos Seed;Super Nintendo;Neverland;1996-03-15
Chester Cheetah: Too Cool to Fool;Super Nintendo;Kaneko;1992-12-01
Chester Cheetah: Wild Wild Quest;Super Nintendo;Kaneko;1993-01-01
Chibi Maruko-chan: Harikiri 365-Nichi no Maki;Super Nintendo;;1991-12-13
Chibi Maruko-chan: Mezase! Minami no Island!!;Super Nintendo;Konami;1995-12-01
Choplifter III;Super Nintendo;Krome Studios Melbourne;1994-01-01
Chrono Trigger;Super Nintendo;Square;1995-03-11
Chrono Trigger: Crimson Echoes;Super Nintendo;;2009-05-31
Chō Aniki: Bakuretsu Rantō-hen;Super Nintendo;Masaya;1995-09-22
Civilization;Super Nintendo;MicroProse;1991-09-01
Classic Road;Super Nintendo;;1993-10-29
Classic Road II;Super Nintendo;;1995-02-24
ClayFighter;Super Nintendo;Visual Concepts;1993-11-01
ClayFighter 2: Judgment Clay;Super Nintendo;Interplay Entertainment;1995-01-01
Claymates;Super Nintendo;Visual Concepts;1993-04-26
Cliffhanger;Super Nintendo;Rockstar Lincoln;1993-10-01
Clock Tower;Super Nintendo;Human Entertainment;1995-09-14
ClockWerx;Super Nintendo;Callisto Corporation;1995-01-01
Clue;Super Nintendo;Sculptured Software;1992-09-01
College Slam;Super Nintendo;Acclaim Studios Austin;1996-01-31
Columns;Super Nintendo;Sega;1990-06-29
Computer Nouryoku Kaiseki: Ultra Baken;Super Nintendo;Culture Brain;1995-05-26
Congo's Caper;Super Nintendo;Data East;1992-12-18
Contra III: The Alien Wars;Super Nintendo;Konami;1992-02-28
Cool Spot;Super Nintendo;Virgin Interactive;1993-09-01
Cool World;Super Nintendo;;1993-02-01
Coron Land;Super Nintendo;;1995-08-25
Cosmo Gang the Puzzle;Super Nintendo;Namco;1992-11-26
Cosmo Gang the Video;Super Nintendo;Namco;1992-03-01
Cosmo Police Galivan II: Arrow of Justice;Super Nintendo;;1993-01-01
Crayon Shin-Chan 2: Dai Maou no Gyakushuu;Super Nintendo;;1994-01-01
Crayon Shin-Chan: Arashi wo Yobu Enji;Super Nintendo;;1993-01-01
Crystal Beans: From Dungeon Explorer;Super Nintendo;;1995-10-27
Cutthroat Island;Super Nintendo;Software Creations;1995-01-01
Cyber Citizen Shockman Zero;Super Nintendo;Masaya;1997-03-20
Cyber Knight;Super Nintendo;Group SNE;1992-10-30
Cyber Knight II: Chikyū Teikoku no Yabō;Super Nintendo;;1994-01-01
Cyber Spin;Super Nintendo;Arc System Works;1992-03-19
Cyborg 009;Super Nintendo;Riot Games;1993-01-01
D-Force;Super Nintendo;Asmik Ace Entertainment;1991-12-20
Daffy Duck: The Marvin Missions;Super Nintendo;ICOM Simulations;1994-04-28
Daibakushou!! Jinsei Gekijou;Super Nintendo;;1992-01-01
Daibakushou!! Jinsei Gekijou: Dokidoki Seishun Hen;Super Nintendo;;1993-01-01
Daibakushou!! Jinsei Gekijou: Ooedo Nikki;Super Nintendo;;1994-01-01
Daibakushou!! Jinsei Gekijou: Zukkoke Salaryman Hen;Super Nintendo;;1995-12-29
Daikaijū Monogatari;Super Nintendo;Birthday;1994-12-22
Daikaijū Monogatari II;Super Nintendo;Birthday;1996-08-02
Daisenryaku;Super Nintendo;Genki / Sega / SystemSoft Alpha;1991-06-17
Darius Force;Super Nintendo;Taito;1993-09-24
Darius Twin;Super Nintendo;Taito;1991-03-29
Dark Half;Super Nintendo;;1996-01-01
Dark Kingdom;Super Nintendo;;1994-04-29
Dark Law: Meaning of Death;Super Nintendo;;1997-03-28
Daruma Dōjō;Super Nintendo;;
Date Kimiko no Virtual Tennis;Super Nintendo;Jorudan;1994-05-13
David Crane's Amazing Tennis;Super Nintendo;Absolute Entertainment;1992-01-01
Daze Before Christmas;Super Nintendo;Funcom;1994-01-01
Dear Boys;Super Nintendo;;
Dekitate High School;Super Nintendo;;1995-07-07
Demolition Man;Super Nintendo;Virgin Interactive;1994-11-23
Demon's Crest;Super Nintendo;Capcom;1994-01-01
Denjinmakai;Super Nintendo;Winkysoft;1993-01-01
Dennis the Menace;Super Nintendo;Ocean Software;1993-01-01
Desert Strike;Super Nintendo;Electronic Arts;1992-02-01
Dezaemon;Super Nintendo;;1994-09-20
Dig & Spike Volleyball;Super Nintendo;Tose Co.;1992-11-27
Dino Dini's Goal;Super Nintendo;Dino Dini;1993-01-01
Dino Dini's Soccer;Super Nintendo;Dino Dini;1994-01-01
DinoCity;Super Nintendo;Irem;1992-01-01
Dirt Racer;Super Nintendo;;
Dirt Trax FX;Super Nintendo;Sculptured Software;1995-01-01
Disney's Aladdin;Super Nintendo;Capcom;1993-01-01
Disney's Beauty and the Beast;Super Nintendo;;1994-07-01
Disney's Magical Quest 3 Starring Mickey & Donald;Super Nintendo;Capcom;1995-12-01
Dolucky no Kusayakiu;Super Nintendo;Zoom;1993-12-17
Dolucky no Puzzle Tour '94;Super Nintendo;Zoom;1994-10-28
Dolucky's A-League Soccer;Super Nintendo;Zoom;1994-07-08
Donald In the Magic Cap;Super Nintendo;;1995-08-11
Donkey Kong Country;Super Nintendo;Rare Ltd.;1994-11-18
Donkey Kong Country 2: Diddy's Kong Quest;Super Nintendo;Rare Ltd.;1995-11-20
Donkey Kong Country 3: Dixie Kong's Double Trouble!;Super Nintendo;Rare Ltd.;1996-11-18
Doom Troopers: Mutant Chronicles;Super Nintendo;;1995-01-01
Doomsday Warrior;Super Nintendo;;1992-03-01
Doraemon 2: Nobita no Toys Land Daibouken;Super Nintendo;SAS Sakata;1993-12-17
Doraemon 3;Super Nintendo;Fortyfive;1994-12-16
Doraemon 4;Super Nintendo;Agenda;1995-12-15
Doraemon: Nobita to Yousei no Kuni;Super Nintendo;;1993-02-19
DoReMi Fantasy;Super Nintendo;Hudson Soft;1996-03-22
Dossun! Ganseki Battle;Super Nintendo;;1994-12-16
Double Dragon V: The Shadow Falls;Super Nintendo;Leland Interactive Media;1994-07-10
Down the World: Mervil's Ambition;Super Nintendo;;1994-09-30
Downtown Nekketsu Baseball Monogatari;Super Nintendo;;1993-01-01
Dr. Mario;Super Nintendo;Nintendo Research & Development 1;1990-07-27
Dragon Ball Z: Hyper Dimension;Super Nintendo;Bandai;1996-01-01
Dragon Ball Z: Super Butōden;Super Nintendo;Bandai;1993-01-01
Dragon Ball Z: Super Butōden 2;Super Nintendo;Bandai;1993-01-01
Dragon Ball Z: Super Butōden 3;Super Nintendo;Bandai;1994-01-01
Dragon Ball Z: Super Gokuden - Kakusei-Hen;Super Nintendo;;1995-09-22
Dragon Ball Z: Super Gokuden - Totsugeki-Hen;Super Nintendo;;1995-03-24
Dragon Ball Z: Super Saiya Densetsu;Super Nintendo;Tose Co.;1992-01-25
Dragon Knight 4;Super Nintendo;ELF Corporation;1994-02-25
Dragon Quest;Super Nintendo;Chunsoft;1986-01-01
Dragon Quest II;Super Nintendo;Chunsoft;1987-01-26
Dragon Quest III;Super Nintendo;Chunsoft;1988-02-10
Dragon Quest V;Super Nintendo;Chunsoft;1992-09-27
Dragon Quest VI;Super Nintendo;Heartbeat;1995-12-09
Dragon Slayer: The Legend of Heroes;Super Nintendo;;1989-12-10
Dragon Slayer: The Legend of Heroes II;Super Nintendo;;1992-03-19
Dragon Squadron: Danzarb;Super Nintendo;;1993-01-01
Dragon's Earth;Super Nintendo;Human Entertainment;1993-01-22
Dragon's Lair;Super Nintendo;;1992-01-01
Dragon: The Bruce Lee Story;Super Nintendo;Virgin Interactive;1994-01-01
Drakkhen;Super Nintendo;;1989-01-01
Dream Basketball: Dunk & Hoop;Super Nintendo;;1994-11-18
Dream TV;Super Nintendo;;1994-04-01
Dual Orb;Super Nintendo;;1993-03-05
Dual Orb II;Super Nintendo;Nippon Ichi Software;1994-12-29
Dungeon Master;Super Nintendo;FTL Games;1987-01-01
Dynamic Stadium;Super Nintendo;;
DynamiTracer;Super Nintendo;Square;1996-01-27
Dōkyūsei 2;Super Nintendo;ELF Corporation;1995-01-01
E.V.O.: Search for Eden;Super Nintendo;Givro;1992-12-21
Earth Defense Force;Super Nintendo;Jaleco;1991-10-25
Earth Light;Super Nintendo;Hudson Soft;1992-07-24
EARTH LIGHT LUNA STRIKE;Super Nintendo;;1996-01-01
EarthBound 64;Super Nintendo;Nintendo;2000-03-22
Earthworm Jim;Super Nintendo;Shiny Entertainment;1994-01-01
Earthworm Jim 2;Super Nintendo;Shiny Entertainment;1995-01-01
Edo no Kiba;Super Nintendo;Riot;1993-03-12
Eek! The Cat;Super Nintendo;;1994-08-01
Elfaria;Super Nintendo;Hudson Soft / Red Entertainment;1993-01-03
Elfaria II: The Quest of the Meld;Super Nintendo;;1995-06-09
Elite Soccer;Super Nintendo;;1994-01-01
Emerald Dragon;Super Nintendo;Alfa System;1995-07-28
Emit;Super Nintendo;Koei;1994-03-25
Emmitt Smith Football;Super Nintendo;;1995-11-01
Energy Breaker;Super Nintendo;Neverland;1996-07-26
Equinox;Super Nintendo;Software Creations;1993-11-12
ESPN Baseball Tonight;Super Nintendo;Park Place Productions;1994-09-01
